City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
173,Tarko-Sale,RU,64.9225,77.785,58.84,50,5,13.94,clear sky,2021-07-30 05:08:35
174,Nikolskoye,RU,59.7035,30.7861,68.02,67,57,9.04,broken clouds,2021-07-30 05:08:35
175,Hay River,CA,60.8156,-115.7999,60.69,66,93,5.03,overcast clouds,2021-07-30 05:08:35
176,Lavrentiya,RU,65.5833,-171.0,46.24,88,85,7.99,overcast clouds,2021-07-30 05:08:35
177,Palmer,US,42.1584,-72.3287,71.15,86,90,1.01,overcast clouds,2021-07-30 05:08:36
178,Kahului,US,20.8947,-156.47,77.97,84,40,19.57,scattered clouds,2021-07-30 05:05:32
179,Nanortalik,GL,60.1432,-45.2371,46.63,77,100,19.24,overcast clouds,2021-07-30 05:08:36
180,Te Anau,NZ,-45.4167,167.7167,49.93,87,100,0.74,overcast clouds,2021-07-30 05:08:36
181,Bose,IT,45.4612,8.0137,70.48,88,76,5.1,broken clouds,2021-07-30 05:08:37
182,Karratha,AU,-20.7377,116.8463,78.17,49,1,18.79,clear sky,2021-07-30 05:08:37
183,Atar,MR,20.5169,-13.0499,80.04,51,36,8.77,scattered clouds,2021-07-30 05:08:37
184,Karpathos,GR,35.507,27.2132,76.96,88,0,18.41,clear sky,2021-07-30 05:08:38
185,Yumen,CN,40.2833,97.2,94.66,11,0,22.01,clear sky,2021-07-30 05:08:38
186,Santo Amaro Da Imperatriz,BR,-27.6881,-48.7786,47.01,76,0,3.42,clear sky,2021-07-30 05:08:38
187,Guerrero Negro,MX,27.9769,-114.0611,70.65,82,46,15.23,scattered clouds,2021-07-30 05:07:01
188,Manubul,PH,5.4732,120.7986,84.88,74,57,10.36,broken clouds,2021-07-30 05:08:39
189,Springdale,US,36.1867,-94.1288,80.01,89,1,3.44,clear sky,2021-07-30 05:07:46
190,Santa Rosalia,MX,27.3167,-112.2833,88.61,51,70,3.78,broken clouds,2021-07-30 05:08:39
191,Kungurtug,RU,50.5994,97.5228,68.13,30,28,2.15,scattered clouds,2021-07-30 05:08:39
192,Hualmay,PE,-11.0964,-77.6139,62.96,86,59,7.83,broken clouds,2021-07-30 05:08:40
193,Abnub,EG,27.2696,31.1511,85.12,30,45,6.2,scattered clouds,2021-07-30 05:08:40
194,Konevo,RU,62.1215,39.3192,60.93,96,94,4.79,overcast clouds,2021-07-30 05:08:40
195,Araouane,ML,18.9048,-3.5265,88.79,42,55,8.41,broken clouds,2021-07-30 05:08:41
196,Coquimbo,CL,-29.9533,-71.3436,47.93,93,90,5.75,overcast clouds,2021-07-30 05:07:45
197,Qaanaaq,GL,77.484,-69.3632,39.69,87,64,7.45,broken clouds,2021-07-30 05:08:41
198,Torbay,CA,47.6666,-52.7314,57.58,89,15,5.99,few clouds,2021-07-30 05:05:34
199,Port Hardy,CA,50.6996,-127.4199,60.84,95,15,9.22,few clouds,2021-07-30 05:08:41
200,Tiznit,MA,29.5833,-9.5,82.42,37,46,7.61,scattered clouds,2021-07-30 05:08:41
201,Novo Aripuana,BR,-5.1206,-60.3797,69.58,62,0,3.31,clear sky,2021-07-30 05:08:42
202,Skeldon,GY,5.8833,-57.1333,73.87,91,100,1.12,overcast clouds,2021-07-30 05:08:42
203,Camopi,GF,3.1655,-52.3158,70.11,99,17,0.63,few clouds,2021-07-30 05:08:42
204,Fukuma,JP,33.7667,130.4667,98.1,56,40,8.3,scattered clouds,2021-07-30 05:08:43
205,Portoferraio,IT,42.8115,10.3146,77.58,83,0,9.4,clear sky,2021-07-30 05:08:43
206,Jos,NG,9.9167,8.9,63.27,98,100,2.04,heavy intensity rain,2021-07-30 05:08:43
207,Caravelas,BR,-17.7125,-39.2481,67.28,85,100,14.52,overcast clouds,2021-07-30 05:08:43
208,Samarai,PG,-10.6167,150.6667,80.28,85,54,15.82,broken clouds,2021-07-30 05:08:44
209,Shenjiamen,CN,29.9576,122.298,83.08,79,85,5.88,overcast clouds,2021-07-30 05:08:44
210,Saint Andrews,US,34.0454,-81.1293,82.13,80,40,1.01,scattered clouds,2021-07-30 05:08:44
211,Tuktoyaktuk,CA,69.4541,-133.0374,48.96,95,96,3.29,overcast clouds,2021-07-30 05:08:44
212,Chuy,UY,-33.6971,-53.4616,39.56,87,6,5.48,clear sky,2021-07-30 05:08:45
213,Palu,ID,-0.8917,119.8707,86.18,78,93,3.24,moderate rain,2021-07-30 05:08:45
214,Clyde River,CA,70.4692,-68.5914,34.03,100,75,11.5,mist,2021-07-30 05:08:45
215,Sitka,US,57.0531,-135.33,67.89,56,40,3.44,scattered clouds,2021-07-30 05:08:46
216,Dunaszekcso,HU,46.0866,18.7587,69.6,47,0,2.53,clear sky,2021-07-30 05:08:46
217,Alyangula,AU,-13.8483,136.4192,81.7,61,0,4.36,clear sky,2021-07-30 05:08:46
218,Almaznyy,RU,48.0448,40.045,73.54,57,80,10.98,light rain,2021-07-30 05:08:46
219,Uchaly,RU,54.2996,59.4521,53.17,82,100,11.52,overcast clouds,2021-07-30 05:08:47
220,Paamiut,GL,61.994,-49.6678,43.29,87,100,5.79,overcast clouds,2021-07-30 05:08:47
221,Necochea,AR,-38.5473,-58.7368,40.03,63,0,11.86,clear sky,2021-07-30 05:08:47
222,Barabai,ID,-2.5833,115.3833,91.58,52,93,3.87,moderate rain,2021-07-30 05:08:48
223,Bubaque,GW,11.2833,-15.8333,78.19,86,100,13.09,moderate rain,2021-07-30 05:08:48
224,Lompoc,US,34.6391,-120.4579,64.08,88,90,4.61,mist,2021-07-30 05:08:48
225,Hasaki,JP,35.7333,140.8333,86.4,73,16,7.02,few clouds,2021-07-30 05:08:48
226,Jinchang,CN,38.4953,102.1739,94.15,10,0,10.56,clear sky,2021-07-30 05:08:49
227,Mananara,MG,-16.1667,49.7667,70.63,92,89,11.86,moderate rain,2021-07-30 05:08:49
228,Valley City,US,46.9233,-98.0032,68.52,56,1,0.0,clear sky,2021-07-30 05:08:49
229,Xuanhua,CN,40.6103,115.0447,85.75,48,100,3.18,overcast clouds,2021-07-30 05:08:50
230,Caucaia,BR,-3.7361,-38.6531,82.08,77,75,9.22,broken clouds,2021-07-30 05:08:50
231,Lahad Datu,MY,5.0268,118.327,87.6,63,78,5.53,broken clouds,2021-07-30 05:08:50
232,San Cristobal,VE,7.7669,-72.225,64.08,96,67,4.63,broken clouds,2021-07-30 05:08:50
233,Evensk,RU,61.95,159.2333,53.74,50,96,17.4,overcast clouds,2021-07-30 05:08:51
234,Yantal,RU,56.8471,105.2542,83.23,33,12,5.17,few clouds,2021-07-30 05:08:51
235,Thongwa,MM,16.7619,96.5278,86.16,64,65,11.36,broken clouds,2021-07-30 05:08:51
236,Vangaindrano,MG,-23.35,47.6,67.89,81,68,2.98,broken clouds,2021-07-30 05:08:52
237,Aksay,RU,47.26,39.87,81.05,45,85,5.99,overcast clouds,2021-07-30 05:08:52
238,Huarmey,PE,-10.0681,-78.1522,64.44,85,45,6.33,scattered clouds,2021-07-30 05:08:52
239,Teguise,ES,29.0605,-13.564,66.42,83,0,16.11,clear sky,2021-07-30 05:08:52
240,Genhe,CN,50.7833,121.5167,77.16,50,40,5.57,scattered clouds,2021-07-30 05:08:53
241,Esperance,AU,-33.8667,121.9,56.25,66,98,24.9,overcast clouds,2021-07-30 05:08:53
242,Doha,QA,25.2867,51.5333,100.38,39,0,8.05,clear sky,2021-07-30 05:08:53
243,Nokaneng,BW,-19.6667,22.2667,48.81,51,74,6.51,broken clouds,2021-07-30 05:08:53
244,Aasiaat,GL,68.7098,-52.8699,36.55,95,64,3.96,broken clouds,2021-07-30 05:08:54
245,Gelemso,ET,8.8167,40.5167,62.44,73,100,10.47,overcast clouds,2021-07-30 05:08:54
246,Jacareacanga,BR,-6.2222,-57.7528,67.75,57,3,2.57,clear sky,2021-07-30 05:08:54
247,Hambantota,LK,6.1241,81.1185,89.94,62,0,13.8,clear sky,2021-07-30 05:08:55
248,Saint-Philippe,RE,-21.3585,55.7679,70.21,81,91,15.28,light rain,2021-07-30 05:08:55
249,Koumac,NC,-20.5667,164.2833,74.03,67,4,11.56,clear sky,2021-07-30 05:08:55
250,Plettenberg Bay,ZA,-34.0527,23.3716,54.05,66,44,4.07,scattered clouds,2021-07-30 05:08:55
251,Talnakh,RU,69.4865,88.3972,57.76,92,100,2.35,light rain,2021-07-30 05:08:56
252,Mao,ES,39.8885,4.2658,73.96,94,20,3.44,few clouds,2021-07-30 05:08:56
253,Ushtobe,KZ,45.2514,77.9838,72.18,40,100,6.35,overcast clouds,2021-07-30 05:08:56
254,Hofn,IS,64.2539,-15.2082,50.85,94,94,5.32,overcast clouds,2021-07-30 05:08:57
255,Dearborn Heights,US,42.337,-83.2733,72.36,86,40,4.61,scattered clouds,2021-07-30 05:04:52
256,Lincoln,US,40.8,-96.667,82.31,74,90,5.75,overcast clouds,2021-07-30 05:08:57
257,Marzuq,YE,14.4,46.4667,75.96,71,99,11.79,overcast clouds,2021-07-30 05:08:57
258,Bajil,YE,15.0584,43.2851,90.25,54,41,6.62,scattered clouds,2021-07-30 05:08:58
259,Khryashchevka,RU,53.8119,49.0916,71.58,75,43,11.03,scattered clouds,2021-07-30 05:08:58
260,Krasnoselkup,RU,65.7,82.4667,62.82,49,11,12.5,few clouds,2021-07-30 05:08:58
